Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot1-16_1_3182.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot1-16_1_3183.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot1-16_1_3184.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot1-16_1_3185.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot1-17_1_3187.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot1-17_1_3188.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_3_Slot1-17_1_3189.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep2_4_Slot1-17_1_3190.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_1_Slot1-18_1_3192.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_2_Slot1-18_1_3193.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_3_Slot1-18_1_3194.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_A549_rep3_4_Slot1-18_1_3195.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot1-19_1_3197.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot1-19_1_3198.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot1-19_1_3199.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot1-19_1_3200.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot1-20_1_3202.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot1-20_1_3203.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot1-20_1_3204.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot1-20_1_3205.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot1-21_1_3207.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot1-21_1_3208.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot1-21_1_3209.d	F:\WOSP00101-DIA-DIANN\CAD20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot1-21_1_3210.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_1_Slot2-34_1_9883.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_2_Slot2-34_1_9884.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_3_Slot2-34_1_9885.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep1_4_Slot2-34_1_9886.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_1_Slot2-35_1_9888.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_2_Slot2-35_1_9889.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_3_Slot2-35_1_9890.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep2_4_Slot2-35_1_9891.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_1_Slot2-36_1_9893.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_2_Slot2-36_1_9894.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_3_Slot2-36_1_9895.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_A549_rep3_4_Slot2-36_1_9896.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_1_Slot2-37_1_9898.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_2_Slot2-37_1_9899.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_3_Slot2-37_1_9900.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep1_4_Slot2-37_1_9901.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_1_Slot2-38_1_9903.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_2_Slot2-38_1_9904.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_3_Slot2-38_1_9905.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep2_4_Slot2-38_1_9906.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_1_Slot2-39_1_9908.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_2_Slot2-39_1_9909.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_3_Slot2-39_1_9910.d	F:\WOSP00101-DIA-DIANN\N20211212chenc_WOSP00101_DIA_60min_K562_rep3_4_Slot2-39_1_9911.d
P04424	P04424	ARLY_HUMAN	ASL	Argininosuccinate lyase	39943	39709.5	37589.3	37526	41311.3	40193.4	38317.2	39634.7	41365.1	39497.9	39878.3	39162.2	35086.3	36606.8	34367.8	36240	34328.1	35141.7	37230.7	35132.9	37077.7	34275.9	35902.1	36632.7	29817.7	32454.4	29186.1	31917.3	31324.4	32036.2	32516.3	32125.2	32038.6	34231.8	31242.2	33157.7	31261	31311.1	30875.9	30835.8	30917.1	30335.8	29545.3	28649	31846.5	30450.6	30468.5	31086.4
P04439	P01889;P04439	HLAA_HUMAN	HLA-A	HLA class I histocompatibility antigen, A alpha chain	96885.6	89622.4	90002.9	90441.3	84872.4	82399.5	82350.5	79728.6	83906.3	76599.8	77070.1	75548.6	36362.4	29408	27714.9	28141.7	29363.1	27092.3	21786.6	20916.3	25197.2	23793	23551.8	24072.7	78010.5	92940.4	80251.7	86782.1	70450.9	74414.5	71297.7	74713.2	71975.5	75068	72495.9	72591.4								41733				
P04626	P04626	ERBB2_HUMAN	ERBB2	Receptor tyrosine-protein kinase erbB-2			1460.5																						2907.61		2557.85		2420.13				2366.81	2304.98														
P04632	P04632	CPNS1_HUMAN	CAPNS1	Calpain small subunit 1	475000	462696	457085	487185	473102	450797	472918	445437	437108	467910	497137	455817	261575	259780	272956	263343	259422	264312	254685	280828	253037	263512	258178	250722	530170	516046	520949	520729	516741	526654	519624	525566	548827	533876	501284	520601	294866	292224	295653	291334	289788	287908	282304	289599	277446	285111	268191	268788
P04637	P04637	P53_HUMAN	TP53	Cellular tumor antigen p53	829.364			669.17				1029.46	1254.23	677.034		828.98													2323.83	2131.79	2487.72	2012.77	3015.22	2578.16	2446.87	1675.88	2608.75	1880.54	2079.69	1588.54												
P04746	P04745;P04746;P19961;CON_AMYS_HUMAN|SWISS-PROT:P04745	AMYP_HUMAN	AMY2A	Pancreatic alpha-amylase						1829.73		2397.08	2868.22	2649.13	1875.44	2089.55															1263.68	1780.57	1987.83	2446.26	1722.55	1435.39	2603.08	2961.62	3689.6	3177.93												
P04792	P04792	HSPB1_HUMAN	HSPB1	Heat shock protein beta-1	1.44353e+06	1.54464e+06	1.55492e+06	1.50737e+06	1.5121e+06	1.61685e+06	1.58236e+06	1.57462e+06	1.59061e+06	1.57676e+06	1.55806e+06	1.57923e+06	1.18064e+06	1.27559e+06	1.23283e+06	1.25798e+06	1.2668e+06	1.33421e+06	1.22317e+06	1.23198e+06	1.22461e+06	1.22738e+06	1.22065e+06	1.24025e+06	1.41791e+06	1.42898e+06	1.42789e+06	1.437e+06	1.48743e+06	1.46532e+06	1.51151e+06	1.45307e+06	1.49358e+06	1.42786e+06	1.37802e+06	1.41785e+06	1.23025e+06	1.21363e+06	1.14596e+06	1.22495e+06	1.17333e+06	1.20327e+06	1.22716e+06	1.15137e+06	1.14305e+06	1.09822e+06	1.20649e+06	1.1505e+06
P04818	P04818	TYSY_HUMAN	TYMS	Thymidylate synthase	93278.9	94487.4	96722.1	98552.3	89039.1	97536.8	98299.6	98807.3	97805.7	93154.1	98768.7	93733.1	234081	238474	233039	234582	244746	234993	230873	234868	248116	252855	250121	250224	96581.5	97087	91649.9	96939	94400	98341.5	98789.7	97212.6	95124.3	94493.8	96569.7	93048.8	246313	244964	244114	240332	243389	246228	245897	240284	249390	256174	257120	255856
P04843	P04843	RPN1_HUMAN	RPN1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1	450638	456656	468812	468789	494198	487327	476422	488459	489904	462261	470531	481900	449506	434713	448587	430986	448950	461860	431912	411559	466045	451354	449827	448320	485773	487549	480058	476109	490986	494203	491211	476238	491459	480334	467827	486438	437954	440126	442844	442998	431511	415670	434654	423403	433932	442539	453237	448458
P04844	P04844	RPN2_HUMAN	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2	362131	364125	381433	367034	363394	370829	362505	362136	375673	366760	370515	368610	351999	354644	346974	367453	343721	352216	337795	333273	367383	359379	363389	357041	406078	400621	407621	410070	410483	412136	407060	405770	408753	398962	412704	419651	379855	370913	378374	374823	343838	363015	353528	356912	385206	377527	374527	361238
P04899	P04899	GNAI2_HUMAN	GNAI2	Guanine nucleotide-binding protein G(i) subunit alpha-2	167176	175360	176478	176756	178611	176249	178962	173386	163882	176987	162155	170959	167012	164810	167742	164288	149218	169314	161245	162664	160838	172683	166004	171655	195713	190908	188478	188697	180183	186816	180098	185117	183413	183251	182791	190641	175837	178970	185926	173287	177157	177852	181593	183986	183528	186092	182058	184980
P04908;P0C0S8;P20671;Q16777;Q6FI13;Q7L7L0;Q93077;Q96KK5;Q99878;Q9BTM1	P0C0S8;Q6FI13;Q16777;Q96KK5;Q9BTM1;Q7L7L0;P20671;Q99878;Q93077;P04908	H2A1B_HUMAN;H2A1C_HUMAN;H2A1D_HUMAN;H2A1H_HUMAN;H2A1J_HUMAN;H2A1_HUMAN;H2A2A_HUMAN;H2A2C_HUMAN;H2A3_HUMAN;H2AJ_HUMAN	H2AC11;H2AC12;H2AC14;H2AC18;H2AC20;H2AC4;H2AC6;H2AC7;H2AJ;H2AW	Histone H2A type 1-B/E	2.13654e+06	2.19608e+06	1.96811e+06	2.07215e+06	1.95592e+06	1.82743e+06	1.98596e+06	1.8089e+06	2.05162e+06	1.91615e+06	2.00637e+06	2.00095e+06	1.5895e+06	1.60229e+06	1.70571e+06	1.67906e+06	1.6146e+06	1.70421e+06	1.62112e+06	1.57179e+06	1.72852e+06	1.66021e+06	1.56919e+06	1.67351e+06	2.01306e+06	1.84108e+06	1.87564e+06	1.90457e+06	1.74117e+06	1.69169e+06	1.74257e+06	1.79272e+06	1.56092e+06	1.82247e+06	1.47532e+06	1.72473e+06	1.27465e+06	1.55728e+06	1.25527e+06	1.55139e+06	1.56512e+06	1.51065e+06	1.56189e+06	1.4705e+06	1.44018e+06	1.46903e+06	1.38345e+06	1.30361e+06
P04920	P04920	B3A2_HUMAN	SLC4A2	Anion exchange protein 2	45823.2	43765	45920.1	45031.1	45124.4	45644.8	44613.9	44705.6	45412.3	42728.9	44126.9	43009.6	7227.96	7821.05	9248.47	6378.73	8756.38	7891.08	6414.43	8593.27	6443.17	6811.9	8967.86	6387.93	46793.9	46941.1	49007.2	46929.4	46012.6	45932.8	46241.8	45388.1	43895	45288.6	44561.1	46277.4	8020.78	5709.06	8042.96	7658.6	8617.5	8134.34	7631.63	8721.88	8807.19	7424.52	7693.67	7936.61
P04921	P04921	GLPC_HUMAN	GYPC	Glycophorin-C													13797	19067.7	12437.9	14640.5	16779.6	8156.63	11304.3	10709.5	8414.71	10203.5	11360.2	12226.9													26581.6	15024	16378.4	10360.3				9121.77	8000.34	7665.85		
P05023	P05023	AT1A1_HUMAN	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1	302275	297901	312220	300422	297642	298103	301633	302313	293752	306981	301956	298280	245611	243067	241941	243817	221818	216440	215779	214822	244603	246979	247381	245276	277871	282431	281092	282626	277880	278777	283615	280009	296457	294255	299741	302390	242820	236560	239417	236679	212385	218427	215611	211600	237729	236171	239930	239623
P05026	P05026	AT1B1_HUMAN	ATP1B1	Sodium/potassium-transporting ATPase subunit beta-1	290652	294847	282869	285151	276120	277760	278444	270845	259420	258529	267723	269554	9674.39	9704.52	15442.7	8193.56	7068.98	9767.17	6579.35	9016.33	8049.06	7844.87	7821.5	8466.53	282643	289978	289344	279606	276760	281228	270909	273525	270600	263182	271426	290033	8961.2	11865.9	9747.84	8686.54	9144.84	8272.75	8314.15	8673.05	9113.11	9629.97	8618.5	8723.25
P05062	P05062	ALDOB_HUMAN	ALDOB	Fructose-bisphosphate aldolase B	81810.5	83892.3	77442.9	81628.5	91473.8	92986.4	85126.7	85587.4	97936.7	104180	106953	102036													70866.2	71779.3	73903.8	75497.8	81584.5	82044.7	84136	80956.1	90562.5	90249.8	86402.3	86622.6												
P05067	P05067	A4_HUMAN	APP	Amyloid-beta precursor protein	25251.7	25332.2	26094.3	27837.4	26094.1	26523.2	27327	26070	28346.4	27074.1	28040.3	27615.9													24825	27025.3	25458.2	25458.5	24551.1	25365.7	26557.3	24446.9	26578.1	25987.2	26826.7	27262.5				1776.68		11455.1						
P05089	P05089	ARGI1_HUMAN	ARG1	Arginase-1	39042.5	38251.8	37448.8	40460.2	42408.6	42847.6	41865.3	37255.1	50110.2	42855.4	40215.6	43006.8													42157.3	44091	43966.9	39673.8	44569.7	43527.2	45452.7	43035.3	46847.1	46241.5	46922.9	46240.7												
P05091	O94788;P05091	ALDH2_HUMAN	ALDH2	Aldehyde dehydrogenase, mitochondrial	524211	531712	509546	523597	515246	505679	526557	518740	479859	499567	505617	494899	107400	107513	107603	104529	104496	101765	105976	106135	102766	103301	104395	103609	473460	436445	454668	456580	424941	444096	429857	432731	448032	406984	421201	446522	113372	110363	114896	115089	112849	109349	113664	113775	104334	100996	105867	102777
P05107	P05107	ITB2_HUMAN	ITGB2	Integrin beta-2	134244	135334				144713		132234			129134		34927.4	38278.8	38127.2	37382.4	27067.1	26114.9	26981.5	27980.9	33463.4	32954.4	35951.9	36275.6	168533	186387	157716	183280	180528	172552	176403	187194	187307	170977	178310	177555	30881.6	29309	27598.6	29930.4	26502.1	27337.3	25977.6	27120.6	29679.4	28512.7	29527.7	28676.7
P05109	P05109	S10A8_HUMAN	S100A8	Protein S100-A8										9922.34	10161.3	8448.79													5998.26	7589.78	6279.48	6663.4	5626.4	7413.76	5330.71	6078.36	11533	11559.4	11455.2	10749.2												
P05114	P05114	HMGN1_HUMAN	HMGN1	Non-histone chromosomal protein HMG-14	9916.3	7839.45	7644.25	7779.25	8627.93	9499.64	7592.4	7873.01	9481.43	9342.41	9706.81	8934.67	21852.1	16334.1	17729.2	16382	26811.9	19362.2	22434.5	24303.2	22400.4	14053.1	15691.4	16979.6	6906.85	5647.24	7446.99	6555.75	6332.37	6171.04	6203.64	6590.77	7903.63	8588.9	7854.79	5753.24	18246.2	15256.9	18311.8	16054.6	16688.8	14498.2	20222.6	15491	15127.4	15198.8	14501.6	14553.9
P05121	P05121	PAI1_HUMAN	SERPINE1	Plasminogen activator inhibitor 1	24987.7	25525	24881.4	25504.5	26433.7	27020.4	25505.7	26628.9	26376.9	23613.4	26301.3	24798.4												11172.1	25390.6	26527	27141.5	28211.3	27265.8	29114.2	28659.7	25991.3	28437.1	27469.8	26585	25557.7						8160.47						
P05141	P12235;P12236;Q9H0C2;P05141	ADT2_HUMAN	SLC25A5	ADP/ATP translocase 2	2.22569e+06	2.29394e+06	2.36601e+06	2.38131e+06	2.32929e+06	2.3113e+06	2.24141e+06	2.21241e+06	2.12924e+06	2.06576e+06	2.22255e+06	2.13487e+06	1.88085e+06	1.85864e+06	1.92308e+06	1.91118e+06	1.90917e+06	1.78939e+06	1.80681e+06	1.70813e+06	1.9112e+06	1.99253e+06	2.0003e+06	1.97109e+06	2.60702e+06	2.60449e+06	2.51672e+06	2.5681e+06	2.50278e+06	2.57909e+06	2.55846e+06	2.46838e+06	2.60741e+06	2.46484e+06	2.41328e+06	2.45684e+06	2.23764e+06	2.11186e+06	2.0899e+06	2.06342e+06	1.90955e+06	2.07826e+06	1.93158e+06	1.87968e+06	2.15612e+06	2.12025e+06	2.00942e+06	2.05038e+06
P05161	P05161	ISG15_HUMAN	ISG15	Ubiquitin-like protein ISG15	19812.4	20999.8	21190	19813.9	20742.9	22679.4	20730.3	21792	21080.4	19875.8	20738.6	19359.2	111531	109604	109340	113039	113359	119660	111634	110474	102920	109309	108563	107664	25066.7	24365.7	24353.8	25473.8	24364.3	25420.9	25466.1	26132.3	25460.6	25473.6	26123.6	25895.9	128630	129223	130777	128494	141960	129837	137852	131284	126090	124022	123495	124502
P05165	P05165	PCCA_HUMAN	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial	19755.8	19497.8	19599.6	19935.1	17999.8	18202.1	19393	19700.6	18805.3	20163.5	20156.8	19437.9	19476.1	19957	19688.8	20179.8	20004.4	19981	19999.8	18817.7	19845.3	20767.9	20863.4	20806.5	17182.8	17598.7	18282.3	17671.7	17838.3	19047.3	18068.2	18105.4	18427.4	17531.5	18118.9	17485.4	19381.1	19331.4	19598.2	19439.4	19927.1	20252.6	19669	19511.7	18906.3	18961.3	19002.1	18963.3
P05166	P05166	PCCB_HUMAN	PCCB	Propionyl-CoA carboxylase beta chain, mitochondrial	37637.2	38492.9	38945.1	38301.2	36841.7	37994.5	37708.8	39596.6	38092.5	40150.1	38429.4	38331	50238.2	50759	52254.9	51495	49550.8	50632.8	50461.3	48637.9	51017.9	50787.7	49415.5	51428.9	37368.2	36200	36313	36573.8	36510.7	34195	35058.4	35652.7	35777.5	37560.4	38428.4	37846.5	46666.1	48454.6	45519.8	46130.1	46857.6	46950.3	47806.7	47514.5	45685.5	46557.4	45055.5	46817.8
P05198	P05198	IF2A_HUMAN	EIF2S1	Eukaryotic translation initiation factor 2 subunit 1	289402	305252	291019	296637	282160	291798	292197	291866	299845	299334	297058	277327	217491	220531	212919	221297	224516	226599	208333	209495	217937	210708	222204	221584	312375	318318	324563	313871	312304	314247	304723	304477	309076	305998	307741	309358	241333	246994	241708	241281	244075	235423	248169	246584	242887	237776	253007	242456
P05204	P05204;Q15651	HMGN2_HUMAN	HMGN2	Non-histone chromosomal protein HMG-17		1680.44	2544.34	1860.43		2719.85	2037.57	2382.74		3719.25	3398.37	4381.08		3050.45	4438.71	4800.99		1713.01				4856.73	4657.61	6121.04	3134.11	2712.33	2695.59	3090.42	3455.9	2561.41	4688.23	4087.29	5986.94	6308.88	5197.84	4475.37	8697.45	6459.41	6506	5487.11	2202.45	2098.69	2939.78	3539.47	6138.82	6951.9	8460.55	8858.53
P05362	P05362	ICAM1_HUMAN	ICAM1	Intercellular adhesion molecule 1		7051.18	5763.47	1993.97	8689.21	4677.46	4305.42		4333.67	3271.75	6508.95	4804.56	56540.7	54826.3	55275.2	54169.1	59289.2	58942.6	59195.1	59814.5	55989.2	53138.7	52258.7	53031.4	4275.79	3847.41	4422.76	10333.2	3735.47	3518.72	7117.21	3818.08	6904.81	2839.95	4961.35	4416.87	50622.4	50446.6	51251.6	51667.6	48458.4	52426.4	47161.6	49530.8	49304.1	48530.2	46919.9	44571.8
P05386	P05386	RLA1_HUMAN	RPLP1	60S acidic ribosomal protein P1	1.78214e+06	1.88287e+06	1.70077e+06	1.78737e+06	1.83303e+06	1.81255e+06	1.7356e+06	1.79284e+06	1.98061e+06	1.75776e+06	1.77805e+06	1.91837e+06	1.72116e+06	1.87893e+06	1.83049e+06	1.97443e+06	1.75479e+06	1.90976e+06	1.7021e+06	1.86063e+06	1.58591e+06	1.75245e+06	1.40479e+06	1.51136e+06	2.45072e+06	2.25087e+06	2.47643e+06	2.74541e+06	2.64846e+06	2.78864e+06	2.75681e+06	2.66758e+06	2.49961e+06	2.58562e+06	2.4251e+06	2.48358e+06	1.97341e+06	1.83686e+06	1.88647e+06	1.76173e+06	1.84636e+06	2.01233e+06	1.78234e+06	1.89177e+06	1.85045e+06	1.68368e+06	1.81936e+06	1.94031e+06
P05387	P05387	RLA2_HUMAN	RPLP2	60S acidic ribosomal protein P2	1.2013e+06	1.19242e+06	1.24911e+06	1.22794e+06	996412	1.10778e+06	1.15166e+06	1.1877e+06	1.10017e+06	1.31972e+06	1.30829e+06	1.3535e+06	1.16235e+06	1.13395e+06	1.12677e+06	1.14356e+06	1.24623e+06	1.09077e+06	1.16811e+06	1.22446e+06	987178	1.04405e+06	1.05161e+06	1.17597e+06	1.12079e+06	1.16529e+06	1.10953e+06	1.15431e+06	1.11686e+06	1.09563e+06	1.11257e+06	1.18635e+06	1.29238e+06	1.32675e+06	1.20686e+06	1.28383e+06	928394	907239	873338	863505	811608	866498	797785	841653	822324	854868	842295	795940
P05388	P05388	RLA0_HUMAN	RPLP0	60S acidic ribosomal protein P0	1.23782e+06	1.25048e+06	1.17897e+06	1.219e+06	1.07754e+06	1.07603e+06	1.18586e+06	1.00725e+06	1.25145e+06	1.16876e+06	1.15794e+06	1.18961e+06	862419	971379	899515	985507	870487	1.0373e+06	854289	861348	900995	919390	869182	1.00679e+06	1.52398e+06	1.53183e+06	1.57949e+06	1.56755e+06	1.3845e+06	1.34484e+06	1.33633e+06	1.38067e+06	1.52103e+06	1.48181e+06	1.58102e+06	1.54164e+06	1.16149e+06	1.13378e+06	1.1786e+06	1.15582e+06	1.1403e+06	1.1222e+06	1.13806e+06	1.11748e+06	1.1427e+06	1.11733e+06	1.1416e+06	1.17847e+06
P05412	P05412	JUN_HUMAN	JUN	Transcription factor AP-1	10673.1	8648.79	16349.4	9792.01	10283.7	10190.7	11194.3	12198.6	11958.3	11879.8	11153.7	12526.7	9469.59	10390.5	12046.9	9774.33	10160.3	9292.52	10744.9	9304.04	8858.07	10076.6	9348.44	11156.3	14299.9	12066.7	14053.9	14615.7	13506.2	13241	15017.3	13745.3	14532.1	14159.1	13582.5	15461.5	11759.6	11076.5	11019.4	10251.9	12832.6	14265.9	12567.8	10033.6	9355.58	11528.9	11101	10325.8
P05423	P05423	RPC4_HUMAN	POLR3D	DNA-directed RNA polymerase III subunit RPC4	16998.8	18738.1	17320.7	17429.8	17261.1	18708	19058.5	17880.5	17318	19412.7	18420.3	18018.5	24855.9	24741	26059.8	25538.1	24099.4	26054.5	25946.1	25103.2	25171.4	25855.3	25236.4	24981.2	17777.1	17883.1	19824	18781.7	18654.8	18775.3	19326	17848.9	19012.8	18517.1	18041.4	19708.8	26749	26861.7	26667.8	26921.4	27214.6	26119.7	28351.4	26171.4	29276	25243	27069	27327.8
P05455	P05455	LA_HUMAN	SSB	Lupus La protein	669323	671396	686000	674186	653300	675576	673275	663931	688389	682715	676981	669743	1.26463e+06	1.2476e+06	1.26957e+06	1.27012e+06	1.25377e+06	1.26972e+06	1.23415e+06	1.26794e+06	1.25221e+06	1.27107e+06	1.32699e+06	1.28359e+06	723013	730473	745175	724261	728566	707119	728840	715239	751578	739751	746503	730643	1.37623e+06	1.34271e+06	1.39791e+06	1.37314e+06	1.40868e+06	1.35885e+06	1.38089e+06	1.37682e+06	1.41716e+06	1.41756e+06	1.45561e+06	1.44013e+06
P05549	Q6VUC0;Q92481;P05549	AP2A_HUMAN	TFAP2A	Transcription factor AP-2-alpha	5947.86	6768.48	6776.94	6656.25	8165.94	6123.11	6902.65	6676.01	4075.27	7301.13	5772.16	6679.37													5886.81	7508.64	8763.24	6458.76	7102.19	5853.77	6666.31	6871.64	6482.06	7266.18	5170.59	6601.23												
P05556	P05556	ITB1_HUMAN	ITGB1	Integrin beta-1	760954	774922	776841	761712	714275	750429	770739	752818	754980	752217	772205	770230	125927	118852	115456	122159	118839	117457	110680	119400	115504	122352	120911	117701	755183	754904	707856	736478	720007	722851	731485	735346	777209	747036	754749	759371	117965	114947	118687	119304	115291	114374	115466	111055	115272	116200	116269	122119
P05771	P05771	KPCB_HUMAN	PRKCB	Protein kinase C beta type								30968.8			6988.87		79084.3	79573.2	80858.2	78203.8	75405.4	79329.8	70422.6	71808	78631.2	85409.7	80184.7	79712.8						9866.42	44079.2			5071.51		54670.8	90127.5	90779.5	91160.2	90924.5	86482.6	80880.6	78993.1	81290.7	95606	88484	86988.3	89959
P05783	P05783;CON_IPI00311493.5|SWISS-PROT:P05784	K1C18_HUMAN	KRT18	Keratin, type I cytoskeletal 18	6.18134e+06	5.87324e+06	5.69558e+06	6.01194e+06	5.563e+06	5.66261e+06	5.70744e+06	5.51658e+06	5.31955e+06	5.43779e+06	5.57988e+06	5.57517e+06	574082	611328	604511	614273	582005	624527	636190	639120	546501	580186	586051	587437	6.1274e+06	6.08851e+06	6.08927e+06	6.14089e+06	5.96373e+06	5.96308e+06	6.0051e+06	5.96152e+06	5.93654e+06	5.90357e+06	5.95646e+06	6.0142e+06	655528	665072	672424	672783	653427	643772	625841	645012	627633	629698	611490	639926
P05937	P05937	CALB1_HUMAN	CALB1	Calbindin	19936.9	29251.6	27127.2	26450.7	23588.7	17892.4	28268	22199.3	19755.4	27071.7	40834	21505.4	382738	390960	384455	384984	397518	379375	369606	382906	385915	369374	386932	392502	26745	33590.6	16700	19111.9	36069.5	34405	33708.4	19304.6	35368.9	35456.4	21092.2	19100.1	353537	368208	363782	360466	368512	354708	375583	368776	352525	346849	353066	357053
P05976;P08590	P05976;P08590	MYL1_HUMAN;MYL3_HUMAN	MYL1;MYL3	Myosin light chain 1/3, skeletal muscle isoform	228880	257424	264654	249000	250321	257325	265193	262198	205574	247963	269566	264109				35590.7			27644.6	24146.4	29357.8				241914	231208	216766	222084	252244	230115	237657	228311	240884	210024	202640	197653	40874.8	43252.8	42316.4		39590.6	41605.2		43069.7		40267.5	44685.2	42153.7
P05997	P05997	CO5A2_HUMAN	COL5A2	Collagen alpha-2(V) chain	7694.25	8215.22	8026.45	9207.01	8459.43	8378.38	8200.47	8003.77	7229.9	8786.98	6507.17	7792.83													6777.1	6671.13	5481.08	6592.31	6783.19	6850.34	7534.76	7389.36	5918.46	5932.42	7592.75	5639.09												
P06132	P06132	DCUP_HUMAN	UROD	Uroporphyrinogen decarboxylase	104636	108886	97381.2	105208	106939	104007	105530	98793	102479	95834.1	101945	101887	572317	585700	589442	575297	596943	548847	578959	580839	578586	586657	587926	603191	99258.1	106619	97810	104147	101159	101398	99794	102115	96737.8	96728.1	98723.3	93106.4	550220	556610	552874	560656	547744	565145	544212	554321	549702	569141	552294	561868
